Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
184.87.193.133-192.168.31.37-443-56461-6,192.168.31.37,56461,184.87.193.133,443,6,25/05/2024 09:19:21 AM,155863,12,15,599.0,4707.0,294.0,0.0,49.91666666666667,87.01771850222995,1436.0,0.0,313.80000000000007,522.6710519738285,34042.71700146924,173.2290537202543,5994.730769230767,15082.89675508705,50098.0,0.0,110065.0,10005.90909090909,18669.091694319493,50252.0,100.0,155509.0,11107.785714285714,21555.192992653752,53393.0,0.0,0,0,0,0,252,324,76.99069054233526,96.23836317791907,0.0,1436.0,189.49999999999997,404.11554086717615,163309.37037037034,0,1,0,0,0,0,0,0,1.0,196.5185185185185,49.916666666666664,313.8,0,0,0,0,0,0,12,599,15,4707,-1,501,5,0,0,0,0,0,0,0,0,0,No Label
184.87.193.133-192.168.31.37-443-56461-6,184.87.193.133,443,192.168.31.37,56461,6,25/05/2024 09:19:21 AM,1076,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,22304.832713754648,3717.4721189591082,358.66666666666663,434.286004072585,857.0,61.0,918.0,918.0,0.0,918.0,918.0,219.0,219.0,0.0,219.0,219.0,0,0,0,0,40,40,1858.7360594795541,1858.7360594795541,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-34.0.206.140-56437-443-6,34.0.206.140,443,192.168.31.37,56437,6,25/05/2024 09:19:16 AM,22762143,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5,0.04393259457160954,0.2196629728580477,5690535.75,6982053.656193063,1.4613345E7,30.0,0,0,0,0,0,2.2762143E7,7587381.0,7322814.373253838,1.4613345E7,30.0,0,0,0,0,32,80,0.04393259457160954,0.17573037828643817,0.0,1.0,0.16666666666666669,0.408248290463863,0.16666666666666669,0,0,0,0,1,0,0,0,4.0,0.2,0.0,0.25,0,0,0,0,0,0,1,0,4,1,-1,515,0,0,30.0,0.0,30.0,30.0,1.4613345E7,0.0,1.4613345E7,1.4613345E7,No Label
192.168.31.37-34.0.206.140-56437-443-6,192.168.31.37,56437,34.0.206.140,443,6,25/05/2024 09:19:39 AM,266635,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.500890730774279,266635.0,0.0,266635.0,266635.0,0,0,0,0,0,266635.0,266635.0,0.0,266635.0,266635.0,0,0,0,0,0,40,0.0,7.500890730774279,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-34.80.89.126-56467-443-6,192.168.31.37,56467,34.80.89.126,443,6,25/05/2024 09:19:39 AM,5206636,17,18,2532.0,7800.0,1436.0,0.0,148.94117647058826,350.1796807690723,1420.0,0.0,433.3333333333333,637.3214167398535,1984.3906891128938,6.72219068127674,153136.35294117648,844622.2731632451,4931712.0,0.0,5140833.0,321302.0625,1246806.0198097895,4996058.0,9.0,5206350.0,306255.8823529412,1192293.0112859677,4931712.0,0.0,0,0,0,0,388,384,3.2650640451915596,3.4571266360851807,0.0,1436.0,287.0,525.3266738760885,275968.1142857142,0,1,0,0,0,0,0,0,1.0,295.2,148.94117647058823,433.3333333333333,0,0,0,0,0,0,17,2532,18,7800,-1,501,8,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-34.80.89.126-56467-443-6,34.80.89.126,443,192.168.31.37,56467,6,25/05/2024 09:19:44 AM,370,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,64864.86486486487,8108.108108108108,185.0,188.09040379562165,318.0,52.0,0,0,0,0,0,52.0,52.0,0.0,52.0,52.0,0,1,0,0,20,40,2702.702702702703,5405.405405405406,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-108.157.38.57-56422-443-6,192.168.31.37,56422,108.157.38.57,443,6,25/05/2024 09:19:34 AM,14882586,0,4,0.0,40.0,0,0,0,0,39.0,0.0,10.0,19.339079605813716,2.687704945901203,0.2687704945901203,4960862.0,8590001.308846641,1.4879741E7,0.0,0,0,0,0,0,1.4882586E7,4960862.0,8590001.308846641,1.4879741E7,0.0,0,0,0,0,0,92,0.0,0.2687704945901203,0.0,39.0,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,0.0,10.25,0.0,10.0,0,0,0,0,0,0,0,0,4,40,-1,145,0,0,2845.0,0.0,2845.0,2845.0,1.4879741E7,0.0,1.4879741E7,1.4879741E7,No Label
192.168.31.37-108.157.38.57-56422-443-6,192.168.31.37,56422,108.157.38.57,443,6,25/05/2024 09:19:49 AM,222,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9009.009009009009,222.0,0.0,222.0,222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4504.504504504504,4504.504504504504,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-49.213.95.132-56455-443-6,192.168.31.37,56455,49.213.95.132,443,6,25/05/2024 09:19:13 AM,38530848,20,22,3437.0,2675.0,642.0,0.0,171.85000000000002,210.34990273101474,417.0,0.0,121.59090909090908,165.8104652596162,158.62614806712793,1.090035703340866,939776.7804878049,4734470.681036897,2.9993275E7,0.0,8533292.0,449120.63157894736,1278265.8192280235,4505618.0,115.0,3.8530848E7,1834802.2857142857,6567448.026446987,2.9993435E7,0.0,0,0,0,0,400,456,0.5190646206385077,0.5709710827023584,0.0,642.0,142.1395348837209,186.77699733401823,34885.646733111855,0,1,0,0,0,0,0,0,1.0,145.52380952380952,171.85,121.5909090909091,0,0,0,0,0,0,20,3437,22,2675,-1,34668,14,0,8537572.0,0.0,8537572.0,8537572.0,2.9993275E7,0.0,2.9993275E7,2.9993275E7,No Label
192.168.31.37-49.213.95.132-56455-443-6,192.168.31.37,56455,49.213.95.132,443,6,25/05/2024 09:19:51 AM,307,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6514.657980456026,307.0,0.0,307.0,307.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3257.328990228013,3257.328990228013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64557,0,0,0,0,0,0,0,0,0,0,No Label
