Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.8.8-10.10.10.10-53-30051-17,8.8.8.8,53,10.10.10.10,30051,17,13/06/2021 05:28:46 AM,412165,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,194.09702424999696,9.704851212499849,137388.3333333333,149498.9194620929,305818.0,20409.0,391756.0,195878.0,155478.63904729806,305818.0,85938.0,0,0,0,0,0,0,0,0,0,24,8,7.278638409374886,2.426212803124962,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.4.4-10.10.10.10-53-57986-17,8.8.4.4,53,10.10.10.10,57986,17,13/06/2021 05:28:46 AM,4526,1,1,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,8837.825894829872,441.89129474149365,4526.0,0.0,4526.0,4526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,220.94564737074683,220.94564737074683,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,30.0,20.0,20.0,0,0,0,0,0,0,1,20,1,20,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
1.1.1.1-10.10.10.10-53-24690-17,1.1.1.1,53,10.10.10.10,24690,17,13/06/2021 05:28:46 AM,557337,6,1,186.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,31.0,0.0,389.3515054625837,12.55972598266399,92889.5,78176.28639107897,228670.0,11068.0,458218.0,91643.6,87337.1209240378,228670.0,11068.0,0,0,0,0,0,0,0,0,0,48,8,10.765479413711992,1.7942465689519986,31.0,31.0,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.42857142857143,31.0,31.0,0,0,0,0,0,0,6,186,1,31,-1,-1,6,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-4509-17,8.8.8.8,53,10.10.10.10,4509,17,13/06/2021 05:28:46 AM,94074,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,850.394370389268,42.519718519463396,31358.0,47462.29947021109,85963.0,7.0,8111.0,4055.5,5725.443607267475,8104.0,7.0,0,0,0,0,0,0,0,0,0,24,8,31.88978888959755,10.629929629865849,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-60787-17,8.8.8.8,53,10.10.10.10,60787,17,13/06/2021 05:28:46 AM,365225,7,1,140.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,438.08611130125263,21.904305565062632,52174.99999999999,64691.98145313941,193218.0,774.0,323333.0,53888.83333333333,70692.22213063235,193218.0,774.0,0,0,0,0,0,0,0,0,0,56,8,19.166267369429804,2.738038195632829,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,22.5,20.0,20.0,0,0,0,0,0,0,7,140,1,20,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
212.8.50.158-10.10.10.10-53-61319-17,212.8.50.158,53,10.10.10.10,61319,17,13/06/2021 05:28:46 AM,10509,1,1,1424.0,1424.0,1424.0,1424.0,1424.0,0.0,1424.0,1424.0,1424.0,0.0,271005.8045484823,190.31306499191172,10509.0,0.0,10509.0,10509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,95.15653249595586,95.15653249595586,1424.0,1424.0,1424.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,2136.0,1424.0,1424.0,0,0,0,0,0,0,1,1424,1,1424,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-13277-17,8.8.8.8,53,10.10.10.10,13277,17,13/06/2021 05:28:46 AM,474025,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,168.767470070144,8.438373503507199,158008.33333333334,135649.94081212618,278703.0,11200.0,289903.0,144951.5,189153.18528774503,278703.0,11200.0,0,0,0,0,0,0,0,0,0,24,8,6.3287801276304,2.1095933758767997,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-24725-17,8.8.8.8,53,10.10.10.10,24725,17,13/06/2021 05:28:46 AM,482654,4,1,80.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,207.1877576897736,10.359387884488681,120663.5,53005.93689075467,194685.0,75442.0,407212.0,135737.33333333334,53395.89226085967,194685.0,90611.0,0,0,0,0,0,0,0,0,0,32,8,8.287510307590944,2.071877576897736,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,24.0,20.0,20.0,0,0,0,0,0,0,4,80,1,20,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-62326-17,8.8.8.8,53,10.10.10.10,62326,17,13/06/2021 05:28:46 AM,435964,2,1,40.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,137.62604251727205,6.881302125863603,217982.0,182599.01253292692,347099.0,88865.0,88865.0,88865.0,0.0,88865.0,88865.0,0,0,0,0,0,0,0,0,0,16,8,4.587534750575736,2.293767375287868,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,20.0,0,0,0,0,0,0,2,40,1,20,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
212.8.50.188-10.10.10.10-53-62726-17,212.8.50.188,53,10.10.10.10,62726,17,13/06/2021 05:28:46 AM,9221,1,1,1424.0,1424.0,1424.0,1424.0,1424.0,0.0,1424.0,1424.0,1424.0,0.0,308860.2103893287,216.89621516104543,9221.0,0.0,9221.0,9221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,108.44810758052272,108.44810758052272,1424.0,1424.0,1424.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,2136.0,1424.0,1424.0,0,0,0,0,0,0,1,1424,1,1424,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-53047-17,8.8.8.8,53,10.10.10.10,53047,17,13/06/2021 05:28:46 AM,444800,7,1,140.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,359.71223021582733,17.98561151079137,63542.857142857145,46040.24144676253,123595.0,5009.0,439791.0,73298.5,41763.56104907722,123595.0,27113.0,0,0,0,0,0,0,0,0,0,56,8,15.737410071942447,2.248201438848921,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,22.5,20.0,20.0,0,0,0,0,0,0,7,140,1,20,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-59029-17,8.8.8.8,53,10.10.10.10,59029,17,13/06/2021 05:28:46 AM,29707,1,1,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,1346.4839936715252,67.32419968357625,29707.0,0.0,29707.0,29707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,33.66209984178813,33.66209984178813,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,30.0,20.0,20.0,0,0,0,0,0,0,1,20,1,20,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-10286-17,8.8.8.8,53,10.10.10.10,10286,17,13/06/2021 05:28:46 AM,488719,4,1,80.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,204.6165587996374,10.23082793998187,122179.75,77333.50401723261,229967.0,46817.0,441902.0,147300.66666666666,72002.38565723592,229967.0,98283.0,0,0,0,0,0,0,0,0,0,32,8,8.184662351985496,2.046165587996374,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,24.0,20.0,20.0,0,0,0,0,0,0,4,80,1,20,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-21963-17,8.8.8.8,53,10.10.10.10,21963,17,13/06/2021 05:28:46 AM,419879,6,1,120.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,333.42939275362664,16.671469637681334,69979.83333333333,64640.926718037284,171029.0,7340.0,392888.0,78577.6,68327.5187702583,171029.0,7340.0,0,0,0,0,0,0,0,0,0,48,8,14.28983111801257,2.3816385196687615,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,22.857142857142858,20.0,20.0,0,0,0,0,0,0,6,120,1,20,-1,-1,6,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-50732-17,8.8.8.8,53,10.10.10.10,50732,17,13/06/2021 05:28:46 AM,554745,5,1,100.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,216.31560446691722,10.815780223345861,110949.0,74546.32263230695,192848.0,19951.0,423553.0,105888.25,85081.12415169811,192848.0,19951.0,0,0,0,0,0,0,0,0,0,40,8,9.013150186121551,1.80263003722431,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,23.333333333333332,20.0,20.0,0,0,0,0,0,0,5,100,1,20,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-39311-17,8.8.8.8,53,10.10.10.10,39311,17,13/06/2021 05:28:46 AM,271556,9,1,180.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,736.496339613192,36.824816980659605,30172.88888888889,21097.902564262426,56507.0,465.0,215049.0,26881.125,19931.313686454716,54146.0,465.0,0,0,0,0,0,0,0,0,0,72,8,33.14233528259364,3.6824816980659603,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,22.0,20.0,20.0,0,0,0,0,0,0,9,180,1,20,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
212.8.50.158-10.10.10.10-53-11461-17,212.8.50.158,53,10.10.10.10,11461,17,13/06/2021 05:28:46 AM,331133,3,1,4272.0,1424.0,1424.0,1424.0,1424.0,0.0,1424.0,1424.0,1424.0,0.0,17201.547414483,12.079738352867276,110377.66666666667,73749.81678847299,190822.0,45957.0,236779.0,118389.5,102435.0238565892,190822.0,45957.0,0,0,0,0,0,0,0,0,0,24,8,9.059803764650457,3.019934588216819,1424.0,1424.0,1424.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1780.0,1424.0,1424.0,0,0,0,0,0,0,3,4272,1,1424,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-19099-17,8.8.8.8,53,10.10.10.10,19099,17,13/06/2021 05:28:46 AM,198856,2,1,40.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,301.72587198777006,15.086293599388501,99428.0,101908.22930460524,171488.0,27368.0,171488.0,171488.0,0.0,171488.0,171488.0,0,0,0,0,0,0,0,0,0,16,8,10.057529066259,5.0287645331295,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,20.0,0,0,0,0,0,0,2,40,1,20,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-57307-17,8.8.8.8,53,10.10.10.10,57307,17,13/06/2021 05:28:46 AM,540071,7,1,140.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,296.25734394181507,14.812867197090753,77153.0,70126.91271544756,157369.0,4.0,525844.0,87640.66666666667,70550.79720787474,157369.0,4.0,0,0,0,0,0,0,0,0,0,56,8,12.96125879745441,1.8516083996363442,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,22.5,20.0,20.0,0,0,0,0,0,0,7,140,1,20,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-31925-17,8.8.8.8,53,10.10.10.10,31925,17,13/06/2021 05:28:46 AM,99828,5,1,100.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,1202.0675561966582,60.103377809832914,19965.6,18917.301031066774,46271.0,1524.0,66662.0,16665.5,20113.37791123112,46271.0,1524.0,0,0,0,0,0,0,0,0,0,40,8,50.08614817486076,10.017229634972152,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,23.333333333333332,20.0,20.0,0,0,0,0,0,0,5,100,1,20,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
8.8.4.4-10.10.10.10-53-14444-17,8.8.4.4,53,10.10.10.10,14444,17,13/06/2021 05:28:46 AM,385796,12,1,240.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,673.9313004800465,33.696565024002325,32149.66666666667,31933.172399796917,117416.0,4426.0,366310.0,33300.909090909096,33229.58785616982,117416.0,4426.0,0,0,0,0,0,0,0,0,0,96,8,31.10452156061753,2.5920434633847944,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.53846153846154,20.0,20.0,0,0,0,0,0,0,12,240,1,20,-1,-1,12,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-22270-17,8.8.8.8,53,10.10.10.10,22270,17,13/06/2021 05:28:46 AM,217127,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,368.447959028587,18.42239795142935,72375.66666666667,60904.64013795117,134546.0,12821.0,204306.0,102153.0,45810.619925951665,134546.0,69760.0,0,0,0,0,0,0,0,0,0,24,8,13.816798463572011,4.605599487857337,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
1.1.1.1-10.10.10.10-53-1094-17,1.1.1.1,53,10.10.10.10,1094,17,13/06/2021 05:28:46 AM,423228,7,1,217.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,31.0,0.0,585.9725727031293,18.902341054939654,60461.142857142855,51140.89396112329,167362.0,13237.0,392487.0,65414.5,54151.3524069344,167362.0,13237.0,0,0,0,0,0,0,0,0,0,56,8,16.539548423072198,2.362792631867457,31.0,31.0,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,34.875,31.0,31.0,0,0,0,0,0,0,7,217,1,31,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-23170-17,8.8.8.8,53,10.10.10.10,23170,17,13/06/2021 05:28:46 AM,92687,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,863.1199628858416,43.15599814429208,30895.666666666664,27712.35490414579,61534.0,7580.0,31153.0,15576.5,11308.758751516454,23573.0,7580.0,0,0,0,0,0,0,0,0,0,24,8,32.366998608219056,10.78899953607302,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-23502-17,8.8.8.8,53,10.10.10.10,23502,17,13/06/2021 05:28:46 AM,489781,3,1,60.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,163.33830834597504,8.166915417298751,163260.33333333334,56716.46876642915,204123.0,98507.0,391274.0,195637.0,12001.016290298085,204123.0,187151.0,0,0,0,0,0,0,0,0,0,24,8,6.125186562974064,2.041728854324688,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,20.0,20.0,0,0,0,0,0,0,3,60,1,20,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.10.10.10-53-24954-17,8.8.8.8,53,10.10.10.10,24954,17,13/06/2021 05:28:46 AM,478482,2,1,40.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,125.39656664200534,6.269828332100267,239241.0,102034.09431165643,311390.0,167092.0,167092.0,167092.0,0.0,167092.0,167092.0,0,0,0,0,0,0,0,0,0,16,8,4.179885554733511,2.0899427773667556,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,20.0,0,0,0,0,0,0,2,40,1,20,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
