Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.37-35.186.224.25-51935-443-6,192.168.31.37,51935,35.186.224.25,443,6,18/05/2024 10:57:28 PM,30328,0,2,0,0,0,0,0,0,0,0,0,0,0,65.94566078,30328,0,30328,30328,0,0,0,0,0,30328,30328,0,30328,30328,0,0,0,0,0,40,0,65.94566078,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-104.16.80.73-51892-443-6,104.16.80.73,443,192.168.31.37,51892,6,18/05/2024 10:57:36 PM,231,0,2,0,39,0,0,0,0,39,0,19.5,27.57716447,168831.1688,8658.008658,231,0,231,231,0,0,0,0,0,231,231,0,231,231,0,1,0,0,0,40,0,8658.008658,0,39,26,22.5166605,507,0,0,0,1,1,0,0,0,0,39,0,19.5,0,0,0,0,0,0,0,0,2,39,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-104.16.79.73-51887-443-6,104.16.79.73,443,192.168.31.37,51887,6,18/05/2024 10:57:36 PM,165,0,2,0,39,0,0,0,0,39,0,19.5,27.57716447,236363.6364,12121.21212,165,0,165,165,0,0,0,0,0,165,165,0,165,165,0,1,0,0,0,40,0,12121.21212,0,39,26,22.5166605,507,0,0,0,1,1,0,0,0,0,39,0,19.5,0,0,0,0,0,0,0,0,2,39,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-216.58.203.67-51911-443-6,192.168.31.37,51911,216.58.203.67,443,6,18/05/2024 10:57:50 PM,59811166,2,4,1,74,1,0,0.5,0.707106781,73,0,18.5,36.33639131,1.253946462,0.100315717,1.20E+07,1.95E+07,4.50E+07,197,1.48E+07,1.48E+07,0,1.48E+07,1.48E+07,5.98E+07,1.99E+07,2.29E+07,4.50E+07,30470,0,0,0,0,40,104,0.033438572,0.066877145,0,73,10.85714286,27.40698555,751.1428571,0,0,0,0,1,0,0,0,2,12.66666667,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,301,1,0,28966.5,2126.270091,30470,27463,2.99E+07,2.14E+07,4.50E+07,1.48E+07,No Label
192.168.31.37-13.224.163.73-51928-443-6,192.168.31.37,51928,13.224.163.73,443,6,18/05/2024 10:57:57 PM,59820374,1,4,1,1,1,1,1,0,1,0,0.25,0.5,0.033433425,0.083583563,1.50E+07,2.12E+07,4.50E+07,29443,0,0,0,0,0,5.98E+07,1.99E+07,2.29E+07,4.50E+07,29443,0,0,0,0,20,104,0.016716713,0.06686685,0,1,0.5,0.547722558,0.3,0,0,0,0,1,0,0,0,4,0.6,1,0.25,0,0,0,0,0,0,1,1,4,1,-1,145,1,0,29443,0,29443,29443,4.50E+07,0,4.50E+07,4.50E+07,No Label
192.168.31.37-13.224.163.73-51928-443-6,13.224.163.73,443,192.168.31.37,51928,6,18/05/2024 10:58:57 PM,258,0,4,0,39,0,0,0,0,39,0,9.75,19.5,151162.7907,15503.87597,86,89.40357935,187,17,0,0,0,0,0,258,86,89.40357935,187,17,0,1,0,0,0,80,0,15503.87597,0,39,15.6,21.36117974,456.3,0,0,0,1,1,0,0,0,0,19.5,0,9.75,0,0,0,0,0,0,0,0,4,39,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
140.113.17.5-192.168.31.37-443-51731-6,140.113.17.5,443,192.168.31.37,51731,6,18/05/2024 10:57:25 PM,119997170,37681,19256,5.41E+07,3452,1436,0,1435.504206,26.66841567,1436,0,0.179268799,10.55742951,450799.6814,474.48619,2107.579914,4502.148566,78495,0,1.20E+08,3184.577521,5248.244692,78588,0,1.20E+08,6232.000519,6283.299741,78562,13,0,0,0,0,753620,434748,314.0157389,160.4704511,0,1436,950.0882012,679.4243647,461617.4673,0,0,0,0,1,0,0,0,0,950.1048879,1435.504206,0.179268799,0,0,0,0,0,0,37681,54091234,19256,3452,-1,1032,37668,0,0,0,0,0,0,0,0,0,No Label
192.168.31.1-239.255.255.250-9830-1900-17,192.168.31.1,9830,239.255.255.250,1900,17,18/05/2024 10:57:33 PM,119988244,90,1,39322,401,472,392,436.9111111,29.48267228,401,401,401,0,331.0574326,0.758407632,1333202.711,6167215.323,2.98E+07,0,1.20E+08,1348182.517,6200510.508,2.98E+07,0,0,0,0,0,0,0,0,0,0,720,8,0.750073482,0.00833415,392,472,436.1304348,29.62854927,877.8509317,0,0,0,0,0,0,0,0,0,440.9230769,436.9111111,401,0,0,0,0,0,0,90,39322,1,401,-1,-1,90,0,227265.75,37887.74405,283905,205960,2.98E+07,49308.64804,2.98E+07,2.97E+07,No Label
192.168.31.37-4.189.195.101-51150-443-6,192.168.31.37,51150,4.189.195.101,443,6,18/05/2024 10:57:36 PM,80299815,5,4,116,199,58,0,23.2,31.76790834,58,47,49.75,5.5,3.922798577,0.112079959,1.00E+07,1.85E+07,4.00E+07,41351,8.02E+07,2.00E+07,2.30E+07,4.00E+07,115172,8.03E+07,2.68E+07,2.31E+07,4.01E+07,71499,0,1,0,0,100,80,0.062266644,0.049813315,0,58,37.3,26.18332803,685.5666667,0,0,0,1,1,0,0,0,0,41.44444444,23.2,49.75,0,0,0,0,0,0,5,116,4,199,-1,2043,2,0,115137.5,48.7903679,115172,115103,4.00E+07,6865.299739,4.00E+07,4.00E+07,No Label
192.168.31.37-74.125.204.188-51167-5228-6,192.168.31.37,51167,74.125.204.188,5228,6,18/05/2024 10:57:28 PM,90140438,2,4,2,1,1,1,1,0,1,0,0.25,0.5,0.0332814,0.066562801,1.80E+07,2.46E+07,4.50E+07,39773,4.50E+07,4.50E+07,0,4.50E+07,4.50E+07,9.01E+07,3.00E+07,2.60E+07,4.51E+07,41718,0,0,0,0,40,116,0.0221876,0.0443752,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,1,0,0,0,2,0.666666667,1,0.25,0,0,0,0,0,0,2,2,4,1,-1,290,2,0,40913,1138.441918,41718,40108,4.50E+07,2301.632573,4.50E+07,4.50E+07,No Label
192.168.31.37-35.174.127.31-51338-443-6,192.168.31.37,51338,35.174.127.31,443,6,18/05/2024 10:57:37 PM,112446249,16,18,1749,2408,245,0,109.3125,123.753367,268,0,133.7777778,134.3899312,36.9687743,0.302366689,3407462.091,6137129.232,1.57E+07,146,1.12E+08,7466022,7346609.986,1.57E+07,313991,1.12E+08,6611680.529,7545818.198,1.60E+07,366,0,1,0,0,320,360,0.142290207,0.160076482,0,268,125.7714286,127.9312972,16366.41681,0,0,0,1,1,0,0,0,1,129.4705882,109.3125,133.7777778,0,0,0,0,0,0,16,1749,18,2408,-1,1717,8,0,381801.375,104520.5981,584596,264331,1.36E+07,3853158.084,1.57E+07,5536319,No Label
