Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.37-18.204.255.193-60704-443-6,192.168.31.37,60704,18.204.255.193,443,6,22/05/2024 12:49:01 AM,773870,7,11,1964.0,5669.0,1436.0,0.0,280.5714285714286,530.4924935513092,1436.0,0.0,515.3636363636364,674.9321851456297,9863.413751663717,23.25972062491116,45521.76470588235,100081.0648540281,256746.0,0.0,517058.0,86176.33333333334,131632.04679661663,257859.0,0.0,773850.0,77385.0,123174.66187491646,257402.0,0.0,0,0,0,0,140,244,9.045446909687675,14.214273715223488,0.0,1436.0,401.7368421052632,607.8216882263766,369447.20467836264,0,1,0,0,0,0,0,0,1.0,424.05555555555554,280.57142857142856,515.3636363636364,0,0,0,0,0,0,7,1964,11,5669,-1,128,3,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-3.162.58.5-60684-443-6,192.168.31.37,60684,3.162.58.5,443,6,22/05/2024 12:48:38 AM,3636,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,275.02750275027506,550.0550055005501,3636.0,0.0,3636.0,3636.0,0,0,0,0,0,3636.0,3636.0,0.0,3636.0,3636.0,0,0,0,0,0,52,0.0,550.0550055005501,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,145,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-13.33.30.125-60666-443-6,192.168.31.37,60666,13.33.30.125,443,6,22/05/2024 12:48:26 AM,148113,4,7,74.0,2559.0,39.0,0.0,18.5,21.42428528562855,1436.0,0.0,365.57142857142856,596.2865242881303,17776.967585559676,74.26761999284331,14811.3,33118.365979048875,99741.0,22.0,48300.0,16100.0,26806.680659865367,47052.0,344.0,148113.0,24685.5,41474.662852155896,100669.0,334.0,0,1,0,0,92,140,27.00640727012484,47.26121272271847,0.0,1436.0,226.49999999999997,473.2082954778909,223926.0909090909,0,0,0,1,1,0,0,0,1.0,247.0909090909091,18.5,365.57142857142856,0,0,0,0,0,0,4,74,7,2559,-1,151,2,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-52.111.240.15-60691-443-6,192.168.31.37,60691,52.111.240.15,443,6,22/05/2024 12:48:27 AM,76038,1,2,0.0,68.0,0.0,0.0,0.0,0.0,36.0,32.0,34.0,2.8284271247461903,894.2896972566349,39.453957231910366,38019.0,18087.791462751884,50809.0,25229.0,0,0,0,0,0,25229.0,25229.0,0.0,25229.0,25229.0,0,1,0,0,20,40,13.151319077303455,26.30263815460691,0.0,36.0,26.0,17.435595774162692,303.99999999999994,0,0,0,1,1,0,0,0,2.0,34.666666666666664,0.0,34.0,0,0,0,0,0,0,1,0,2,68,-1,16380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-34.234.132.159-60692-443-6,192.168.31.37,60692,34.234.132.159,443,6,22/05/2024 12:48:35 AM,619839,2,3,530.0,779.0,530.0,0.0,265.0,374.7665940288702,554.0,54.0,259.66666666666663,261.52692659329233,2111.838719409395,8.066610845719614,154959.75,152107.6959402449,302528.0,273.0,352234.0,352234.0,0.0,352234.0,352234.0,570133.0,285066.5,25080.370421905653,302801.0,267332.0,0,1,0,0,40,60,3.2266443382878456,4.839966507431768,0.0,554.0,246.66666666666666,238.3893174340383,56829.466666666674,0,0,0,1,1,0,0,0,1.0,296.0,265.0,259.6666666666667,0,0,0,0,0,0,2,530,3,779,-1,127,1,0,0,0,0,0,0,0,0,0,No Label
192.168.31.1-239.255.255.250-64317-1900-17,192.168.31.1,64317,239.255.255.250,1900,17,22/05/2024 12:48:48 AM,206251,21,1,9202.0,392.0,472.0,392.0,438.19047619047626,28.963112829285205,392.0,392.0,392.0,0.0,46516.138103572834,106.66614949745698,9821.47619047619,44439.15398229251,203763.0,0.0,206251.0,10312.550000000003,45535.112922799526,203763.0,0.0,0,0,0,0,0,0,0,0,0,168,8,101.8176881566635,4.8484613407934996,392.0,472.0,434.1739130434782,30.65445566592095,939.6956521739129,0,0,0,0,0,0,0,0,0.0,453.90909090909093,438.1904761904762,392.0,0,0,0,0,0,0,21,9202,1,392,-1,-1,21,0,0,0,0,0,0,0,0,0,No Label
192.168.31.1-192.168.31.37-53-60991-17,192.168.31.37,60991,192.168.31.1,53,17,22/05/2024 12:48:26 AM,6897,0,2,0.0,177.0,0,0,0,0,131.0,46.0,88.5,60.10407640085654,25663.331883427574,289.9811512251703,6897.0,0.0,6897.0,6897.0,0,0,0,0,0,6897.0,6897.0,0.0,6897.0,6897.0,0,0,0,0,0,16,0.0,289.9811512251703,46.0,131.0,74.33333333333333,49.074772881118186,2408.333333333333,0,0,0,0,0,0,0,0,0.0,111.5,0.0,88.5,0,0,0,0,0,0,0,0,2,177,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-20.210.223.40-52249-443-6,192.168.31.37,52249,20.210.223.40,443,6,22/05/2024 12:48:59 AM,125374,1,2,0.0,105.0,0.0,0.0,0.0,0.0,58.0,47.0,52.5,7.7781745930520225,837.4942173018328,23.928406208623795,62687.0,23726.260935933416,79464.0,45910.0,0,0,0,0,0,79464.0,79464.0,0.0,79464.0,79464.0,0,1,0,0,20,40,7.976135402874599,15.952270805749198,0.0,58.0,40.75,27.657126869338157,764.9166666666666,0,0,0,1,1,0,0,0,2.0,54.333333333333336,0.0,52.5,0,0,0,0,0,0,1,0,2,105,-1,2049,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.1-192.168.31.37-53-63703-17,192.168.31.37,63703,192.168.31.1,53,17,22/05/2024 12:48:26 AM,7012,0,2,0.0,156.0,0,0,0,0,110.0,46.0,78.0,45.254833995939045,22247.57558471192,285.2253280091272,7012.0,0.0,7012.0,7012.0,0,0,0,0,0,7012.0,7012.0,0.0,7012.0,7012.0,0,0,0,0,0,16,0.0,285.2253280091272,46.0,110.0,67.33333333333333,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,0.0,101.0,0.0,78.0,0,0,0,0,0,0,0,0,2,156,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.31.37-49.213.95.31-60833-443-6,192.168.31.37,60833,49.213.95.31,443,6,22/05/2024 12:48:39 AM,50804,1,3,0.0,100.0,0.0,0.0,0.0,0.0,63.0,0.0,33.333333333333336,31.65964834506747,1968.3489489016613,78.73395795606645,16934.666666666664,21871.177707963816,42149.0,3092.0,0,0,0,0,0,8655.0,4327.5,1747.2608563119588,5563.0,3092.0,0,1,0,0,20,60,19.683489489016612,59.05046846704984,0.0,63.0,32.6,31.595885808123814,998.3,0,0,0,1,1,0,0,0,3.0,40.75,0.0,33.333333333333336,0,0,0,0,0,0,1,0,3,100,-1,99,0,0,0,0,0,0,0,0,0,0,No Label
