2024-05-25 09:19:10 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-05-25 09:19:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 19 flow
2024-05-25 09:19:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 20 flow
2024-05-25 09:19:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 36 flow
2024-05-25 09:19:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 37 flow
2024-05-25 09:19:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 49 flow
2024-05-25 09:19:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 49 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:19:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50 flow
2024-05-25 09:20:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 100 flow
2024-05-25 09:20:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 100 flow
2024-05-25 09:21:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 158 flow
2024-05-25 09:21:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 158 flow
2024-05-25 09:21:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 159 flow
2024-05-25 09:21:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 159 flow
2024-05-25 09:21:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 158 flow
2024-05-25 09:21:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 165 flow
2024-05-25 09:21:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 165 flow
2024-05-25 09:21:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 168 flow
2024-05-25 09:22:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 171 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 219 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 218 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 217 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 216 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 215 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 216 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 217 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 217 flow
2024-05-25 09:23:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 218 flow
2024-05-25 09:23:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 223 flow
2024-05-25 09:23:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 223 flow
2024-05-25 09:23:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 234 flow
2024-05-25 09:23:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 234 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 247 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 247 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 246 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 245 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 245 flow
2024-05-25 09:24:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 246 flow
2024-05-25 09:24:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2024-05-25 09:24:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2024-05-25 09:24:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2024-05-25 09:24:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 252 flow
2024-05-25 09:24:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 262 flow
2024-05-25 09:24:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 261 flow
2024-05-25 09:24:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 262 flow
2024-05-25 09:24:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 265 flow
2024-05-25 09:24:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 265 flow
2024-05-25 09:24:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 266 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 314 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 315 flow
2024-05-25 09:25:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 325 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 329 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 330 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 330 flow
